Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h),station,year,month,date
Paya Lebar,2020.0,1.0,1,0.0,,,,28.7,32.3,26.3,20.2,46.4,S06,2020,1,2020-01-01
Paya Lebar,2020.0,1.0,2,0.2,,,,28.5,31.2,26.4,17.3,42.5,S06,2020,1,2020-01-02
Paya Lebar,2020.0,1.0,3,0.0,,,,28.6,32.2,26.0,18.0,46.4,S06,2020,1,2020-01-03
Paya Lebar,2020.0,1.0,4,0.8,,,,28.0,31.6,25.4,19.1,48.2,S06,2020,1,2020-01-04
Paya Lebar,2020.0,1.0,5,0.0,,,,28.7,33.2,25.5,20.2,38.9,S06,2020,1,2020-01-05
Paya Lebar,2020.0,1.0,6,31.2,,,,27.3,32.6,24.0,14.8,46.4,S06,2020,1,2020-01-06
Paya Lebar,2020.0,1.0,7,1.8,,,,26.9,30.8,24.3,15.8,44.3,S06,2020,1,2020-01-07
Paya Lebar,2020.0,1.0,8,0.0,,,,28.6,32.4,26.0,19.4,46.4,S06,2020,1,2020-01-08
Paya Lebar,2020.0,1.0,9,0.0,,,,28.6,32.4,26.1,19.1,42.5,S06,2020,1,2020-01-09
Paya Lebar,2020.0,1.0,10,1.1,,,,27.9,32.0,24.8,11.9,48.2,S06,2020,1,2020-01-10
Paya Lebar,2020.0,1.0,11,0.0,,,,28.4,31.8,25.4,11.9,25.9,S06,2020,1,2020-01-11
Paya Lebar,2020.0,1.0,12,0.7,,,,28.2,33.5,25.0,10.4,29.5,S06,2020,1,2020-01-12
Paya Lebar,2020.0,1.0,13,0.0,,,,28.1,33.4,25.0,16.9,38.9,S06,2020,1,2020-01-13
Paya Lebar,2020.0,1.0,14,0.0,,,,28.2,32.6,25.4,17.6,37.1,S06,2020,1,2020-01-14
Paya Lebar,2020.0,1.0,15,0.0,,,,28.3,32.3,26.2,16.9,33.5,S06,2020,1,2020-01-15
Paya Lebar,2020.0,1.0,16,0.0,,,,28.7,32.5,25.3,16.2,33.5,S06,2020,1,2020-01-16
Paya Lebar,2020.0,1.0,17,0.0,,,,28.8,33.6,25.8,17.3,37.1,S06,2020,1,2020-01-17
Paya Lebar,2020.0,1.0,18,0.0,,,,28.7,33.0,25.2,15.8,35.3,S06,2020,1,2020-01-18
Paya Lebar,2020.0,1.0,19,0.0,,,,28.7,33.3,25.2,15.8,35.3,S06,2020,1,2020-01-19
Paya Lebar,2020.0,1.0,20,0.0,,,,28.7,32.8,24.4,16.6,35.3,S06,2020,1,2020-01-20
Paya Lebar,2020.0,1.0,21,42.0,,,,26.6,28.0,24.6,14.4,40.7,S06,2020,1,2020-01-21
Paya Lebar,2020.0,1.0,22,0.0,,,,28.6,32.4,26.0,18.4,38.9,S06,2020,1,2020-01-22
Paya Lebar,2020.0,1.0,23,0.0,,,,28.7,33.1,25.5,17.6,40.7,S06,2020,1,2020-01-23
Paya Lebar,2020.0,1.0,24,0.0,,,,28.3,32.5,24.8,18.7,42.5,S06,2020,1,2020-01-24
Paya Lebar,2020.0,1.0,25,0.0,,,,28.4,33.3,25.2,13.3,31.3,S06,2020,1,2020-01-25
Paya Lebar,2020.0,1.0,26,0.0,,,,28.8,34.3,25.7,13.0,29.5,S06,2020,1,2020-01-26
Paya Lebar,2020.0,1.0,27,18.3,,,,28.3,32.4,25.7,9.4,24.1,S06,2020,1,2020-01-27
Paya Lebar,2020.0,1.0,28,0.0,,,,29.2,34.2,26.0,9.7,40.7,S06,2020,1,2020-01-28
Paya Lebar,2020.0,1.0,29,63.1,,,,27.0,31.8,24.0,10.1,33.5,S06,2020,1,2020-01-29
Paya Lebar,2020.0,1.0,30,0.0,,,,27.7,32.4,24.0,11.2,31.3,S06,2020,1,2020-01-30
Paya Lebar,2020.0,1.0,31,0.0,,,,28.7,32.7,26.0,15.5,37.1,S06,2020,1,2020-01-31
Paya Lebar,2020.0,2.0,1,0.0,,,,28.7,32.0,26.0,17.3,40.7,S06,2020,2,2020-02-01
Paya Lebar,2020.0,2.0,2,0.0,,,,28.2,31.5,25.3,19.4,48.2,S06,2020,2,2020-02-02
Paya Lebar,2020.0,2.0,3,0.0,,,,28.5,32.8,24.6,18.0,42.5,S06,2020,2,2020-02-03
Paya Lebar,2020.0,2.0,4,0.0,,,,28.1,32.5,24.8,15.1,33.5,S06,2020,2,2020-02-04
Paya Lebar,2020.0,2.0,5,0.0,,,,28.5,33.3,25.3,16.6,35.3,S06,2020,2,2020-02-05
Paya Lebar,2020.0,2.0,6,0.0,,,,28.7,32.9,25.8,18.4,37.1,S06,2020,2,2020-02-06
Paya Lebar,2020.0,2.0,7,0.0,,,,28.4,32.4,24.7,19.4,44.3,S06,2020,2,2020-02-07
Paya Lebar,2020.0,2.0,8,0.0,,,,28.3,31.8,25.3,14.4,33.5,S06,2020,2,2020-02-08
Paya Lebar,2020.0,2.0,9,6.0,,,,27.3,30.4,23.6,11.5,42.5,S06,2020,2,2020-02-09
Paya Lebar,2020.0,2.0,10,0.5,,,,27.8,33.2,24.2,9.7,33.5,S06,2020,2,2020-02-10
Paya Lebar,2020.0,2.0,11,55.7,,,,27.5,31.0,24.8,9.7,31.3,S06,2020,2,2020-02-11
Paya Lebar,2020.0,2.0,12,11.4,,,,28.2,32.3,25.7,10.4,31.3,S06,2020,2,2020-02-12
Paya Lebar,2020.0,2.0,13,0.0,,,,28.9,33.3,25.5,14.8,37.1,S06,2020,2,2020-02-13
Paya Lebar,2020.0,2.0,14,0.0,,,,28.9,33.7,25.3,12.2,31.3,S06,2020,2,2020-02-14
Paya Lebar,2020.0,2.0,15,0.0,,,,29.0,34.5,25.3,9.0,24.1,S06,2020,2,2020-02-15
Paya Lebar,2020.0,2.0,16,42.8,,,,28.4,33.4,25.3,10.1,40.7,S06,2020,2,2020-02-16
Paya Lebar,2020.0,2.0,17,0.0,,,,29.1,33.9,24.6,14.4,37.1,S06,2020,2,2020-02-17
Paya Lebar,2020.0,2.0,18,0.2,,,,27.6,31.8,24.5,13.7,42.5,S06,2020,2,2020-02-18
Paya Lebar,2020.0,2.0,19,0.0,,,,28.9,32.8,26.0,19.4,42.5,S06,2020,2,2020-02-19
Paya Lebar,2020.0,2.0,20,1.0,,,,28.5,32.4,24.4,21.6,51.8,S06,2020,2,2020-02-20
Paya Lebar,2020.0,2.0,21,10.7,,,,27.4,30.7,24.9,18.0,51.8,S06,2020,2,2020-02-21
Paya Lebar,2020.0,2.0,22,0.7,,,,28.2,31.7,25.8,19.4,48.2,S06,2020,2,2020-02-22
Paya Lebar,2020.0,2.0,23,0.0,,,,28.6,31.7,25.6,21.6,48.2,S06,2020,2,2020-02-23
Paya Lebar,2020.0,2.0,24,1.7,,,,27.8,31.1,25.8,17.6,44.3,S06,2020,2,2020-02-24
